stock_date,open_price,close_price,low,high,volume,return
2023-12-04,4564.37,4569.78,4546.72,4572.37,4369910000,-0.54
2023-12-05,4557.25,4567.18,4551.68,4578.56,3909950000,-0.06
2023-12-06,4586.23,4549.34,4546.5,4590.74,4245680000,-0.39
2023-12-07,4568.84,4585.59,4565.22,4590.92,3818880000,0.80
2023-12-08,4576.2,4604.37,4574.06,4609.23,3707010000,0.41
2023-12-11,4593.39,4622.44,4593.39,4623.71,3823210000,0.39
2023-12-12,4618.3,4643.7,4608.09,4643.93,3808380000,0.46
2023-12-13,4646.2,4707.09,4643.23,4709.69,5063650000,1.37
2023-12-14,4721.04,4719.55,4694.34,4738.57,6314040000,0.26
2023-12-15,4714.23,4719.19,4704.69,4725.53,8218980000,-0.01
2023-12-18,4725.58,4740.56,4725.58,4749.52,4060340000,0.45
2023-12-19,4743.72,4768.37,4743.72,4768.69,4026970000,0.59
2023-12-20,4764.73,4698.35,4697.82,4778.01,4201320000,-1.47
2023-12-21,4724.29,4746.75,4708.35,4748.71,3431180000,1.03
2023-12-22,4753.92,4754.63,4736.77,4772.94,3046770000,0.17
2023-12-26,4758.86,4774.75,4758.45,4784.72,2513910000,0.42
2023-12-27,4773.45,4781.58,4768.9,4785.39,2748450000,0.14
2023-12-28,4786.44,4783.35,4780.98,4793.3,2698860000,0.04
2023-12-29,4782.88,4769.83,4751.99,4788.43,3126060000,-0.28
2024-01-02,4745.2,4742.83,4722.67,4754.33,3743050000,-0.57
2024-01-03,4725.07,4704.81,4699.71,4729.29,3950760000,-0.80
2024-01-04,4697.42,4688.68,4687.53,4726.78,3715480000,-0.34
2024-01-05,4690.57,4697.24,4682.11,4721.49,3844370000,0.18
2024-01-08,4703.7,4763.54,4699.82,4764.54,3742320000,1.41
2024-01-09,4741.93,4756.5,4730.35,4765.47,3529960000,-0.15
2024-01-10,4759.94,4783.45,4756.2,4790.8,3498680000,0.57
2024-01-11,4792.13,4780.24,4739.58,4798.5,3759890000,-0.07
2024-01-12,4791.18,4783.83,4768.98,4802.4,3486340000,0.08
2024-01-16,4772.35,4765.98,4747.12,4782.34,4260550000,-0.37
2024-01-17,4739.13,4739.21,4714.82,4744.23,3928600000,-0.56
2024-01-18,4760.1,4780.94,4740.57,4785.79,4019000000,0.88
2024-01-19,4796.28,4839.81,4785.87,4842.07,4287200000,1.23
2024-01-22,4853.42,4850.43,4844.05,4868.41,4297610000,0.22
2024-01-23,4856.8,4864.6,4844.37,4866.48,3912800000,0.29
2024-01-24,4888.56,4868.55,4865.94,4903.68,4330030000,0.08
2024-01-25,4886.66,4894.16,4869.34,4898.15,4020430000,0.53
